"title","status","description","streetaddress","city","Year","state","amenityfeatures","type","notes","unclear_address","full.address","lon","lat","geoAddress"
"'F' St. Bookstore ","Found","4th & F and 2004 University ","321 'F' St.","San Diego ",1980,"CA","(*) - Very popular","Book Store","",NA,NA,NA,NA,NA
"Seagull ","Found","Lansing & Ukiah","","Mendocino",1980,"CA","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels","",NA,NA,NA,NA,NA
"Santa Rosa Park","Found","","","San Luis Obispo",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Santa Monica Blvd.","Found","'Hitch-hikers' from La Brea to Beverly Hills","","Hollywood",1980,"CA","Cruisy Area","Cruising Areas","Approximate.",NA,NA,NA,NA,NA
"Skateworld Roller Rink ","General City Coordinates Used","(Tues. nights) (see. El Sobrante)","","San Francisco",1980,"CA","(*) - Very popular,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Castro Village ","Found","Castro St. betw. 18th & Market ","","San Francisco",1980,"CA","(*) - Very popular,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Summerland Beach","Found","","","Santa Barbara",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Casanova's Adult Books","Found","1626 N. Cahuenga & 7766 Santa Monica Blvd. ","7766 Santa Monica Blvd","Hollywood",1980,"CA","","Book Store","",NA,NA,NA,NA,NA
"Studio One","Found","(E in 'Backlot') (Disco) (L.A.'s top super bar) (Cabaret - several bars) (Disco) 652 La Peer, betw. Santa Monica & Melrose
(E in 'Backlot)","652 La Peer","Hollywood",1980,"CA","(D) - Dancing,(YC) - Young and/or collegiate types,(E) - Entertainment,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Ninth St. Beach","Found","(the 'Thousand Steps') S. Laguna","","Laguna Beach ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Ruby's ","Found","(Good lunches) 4th & Brannan ","","San Francisco",1980,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"'Hitch-hikers'","Found","On Coast Hwy. from Myrtle St. to Bluebird Canyon Rd. ","","Laguna Beach ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Ian's Place","Found","(Mediterranean Cuisine) (Best late) (Liquor) ","67-901 Hwy. 111","Cathedral City",1980,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"'Rest Stop'","General City Coordinates Used","on I-10 betw. Fontana & Rialto (N. side)","","San Bernardino",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"Charcoal Charlie's ","General City Coordinates Used","(Liquor) (Should be picking up with new owners) ","67-800 Hwy. 111","Palm Springs",1980,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Magnolia Park","Found","","","Los Angeles ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Maria's ","General City Coordinates Used","(Italian R)","67-778 Hwy. 111","Palm Springs",1980,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Selma Ave. ","Found","nr. Y.M.C.A. (sure suicide) ","","Hollywood",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"Vicinity of City Hall","Found","","","Pasadena",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lobster Trap","General City Coordinates Used","Inquire locally","","Oxnard",1980,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"The Grove ","General City Coordinates Used","S. end of Evans Lake","","Redwood City",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Alum Rock Park","Found","","","San Jose",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Stanford Shopping Mall","Found","","","Palo Alto",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lafayette Park","Found","","","San Francisco",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Barnsdale Park","Found","very risky","","Hollywood",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"1800 Hyperion","General City Coordinates Used","(May be changing name) ('Wild back room') ","","Los Angeles ",1980,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"New York City Deli","Found","15th & Market","","San Francisco",1980,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"His & Hers ","Found","(Liquor)  ","6599 Hwy. 111","Cathedral City",1980,"CA","","Restaurant","",NA,NA,NA,NA,NA
"Central Park","Found","Fair Oaks & Del Mar","","Pasadena",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Park Along River ","Found","2 blks. E. of Main St (early evenings) ","","Red Bluff",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Capitola Beach T-Rooms","Found","","","Santa Cruz",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Mission Beach","Found","nr. Amusement Park","","San Diego ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Watering Hole ","Found","(Some W) (FFA flicks) 6th & Folsom","","San Francisco",1980,"CA","(W) - Western or coyboy types,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman""","Bars/Clubs","",NA,NA,NA,NA,NA
"Kimo's","Found","(Upstairs & downstairs cruise bar) Pine & Polk Sts.","","San Francisco",1980,"CA","(*) - Very popular","Bars/Clubs,Cruising Areas","",NA,NA,NA,NA,NA
"Beach ","Found","nr. power plant
","","Manhattan Beach ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Party Room ","General City Coordinates Used","(Beer & Wine) (Some W, SM)","67-977 Hwy. 111","Palm Springs",1980,"CA","(PT) - Pool Table,(*) - Very popular,(W) - Western or coyboy types,(WE) = Weekends,(OC) - Older/More Mature Crowd","Bars/Clubs","",NA,NA,NA,NA,NA
"Febe's","Found","(Leather & toy shop upstairs) 11th & Folsom ","","San Francisco",1980,"CA","(*) - Very popular,(W) - Western or coyboy types,(OC) - Older/More Mature Crowd","Business","",NA,NA,NA,NA,NA
"Land's End ","Found","","","San Francisco",1980,"CA","Cruisy Area,(*) - Very popular","Cruising Areas","",NA,NA,NA,NA,NA
"Valley Fair Shopping Center","Found","","","San Jose",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Polkstrasse ","Found","Polk St. betw. Post & Union ","","San Francisco",1980,"CA","(*) - Very popular,Cruisy Area","Cruising Areas","Approximate. Location for middle of the several block radius between Polk and Union.",NA,NA,NA,NA,NA
"Del Paso Park","Found","Parking area off Auburn Blvd.","","Sacramento ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Rest Stop ","General City Coordinates Used","N. of Goleta, just before tunnel ","","Santa Barbara",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Carousel Restaurant","Found","T-Room - Arden Fair Shopping Center","","Sacramento ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lake Merritt","Found","","","Oakland",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Adult Movie Houses","General City Coordinates Used","On 'D' St.","","Marysville",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Club Baths of San Francisco","Found","8th & Howard","","San Francisco",1980,"CA","(*) - Very popular","Baths","",NA,NA,NA,NA,NA
"Church Street Station","Found","(Breakfast served 24 hrs. cruisy after bars close) 14th & Market at Church St.","","San Francisco",1980,"CA","(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"Endup","Found","(Hip) (Disco) (Many twinkies) 6th & Harrison","","San Francisco",1980,"CA","(*) - Very popular,(WE) = Weekends,(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Partners","Found","(Looking good)  Larkin at Post ","","San Francisco",1980,"CA","(PT) - Pool Table","Bars/Clubs","",NA,NA,NA,NA,NA
"Pearson Park T-Room","Found","","","Anaheim",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Truck Stop'","General City Coordinates Used","on US 101 S.","","Eureka",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Fools Rush Inn","General City Coordinates Used","P.O. Box 387, Little River 95456 (Resort) 2 mi. S. on Hwy 1
Tel: (707) 937-5339","","Little River",1980,"CA","(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Club","Found","(Liquor) (Sun. brunch) ('Mixed bag') Kettner & Laurel","","San Diego ",1980,"CA","(*) - Very popular,""(L) - Ladies/Ms, but seldom exclusively unless noted""","Bars/Clubs","",NA,NA,NA,NA,NA
"Solarius ","Found","(Nautilus gym) 254 Sutter & 1335 Sutter","254 Sutter","San Francisco",1980,"CA","","Baths","",NA,NA,NA,NA,NA
"Municipal Wharf ","Found","beneath pier","","Santa Cruz",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Sailors ","General City Coordinates Used","'Hitch-hiking along Rosecrans ","","San Diego ",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"Keys To The City","General City Coordinates Used","(See ad, pg. 41) ","","Hollywood",1980,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Texaco Truck Stop","General City Coordinates Used","I-10, E. of I-15 E.","","San Bernardino",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Radio Park","Found","1st & Clinton","","Fresno ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Central Park","Found","21st & 'R' Sts.","","Bakersfield",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Casbah","General City Coordinates Used","(Lunches - beer & wine) Desert Palms Inn ","67-580 Hwy. 111","Palm Springs",1980,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Mother's Noodle","Found","(Disco) Harbor Blvd. 2 mi S. of Garden Grove (Also AH)","","Santa Ana",1980,"CA","(D) - Dancing,(AH) - After Hours,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Restaurant","",NA,NA,NA,NA,NA
"'Cruisy jacuzzi' ","General City Coordinates Used","at Desert Palms (Late)","","Palm Springs",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Griffith Park","Found","Sonora & Victory ","","Los Angeles ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Twin Oaks Ranch","Question/To Discuss","(Looks like a winner) Rooms, bunkhouse, RV space, swim pool & sports (BYOB) (805) 867-2326, Star Rte. Box 58 Caliente 93518 (See ad, pg. 19) ","","Caliente",1980,"CA","(P) - Private club - Inquire locally to admission,""(H) - Hotel, motel, or other overnight accomodations"",(BYOB) - Bring your own bottle","Hotels,Restaurant","",NA,NA,NA,NA,NA
"Oak Park","Found","","","Stockton",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"S.J. State U.","Found","Journalism Bldg. & Library (3rd floor T-Room)","","San Jose",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Cala Market ","Found","18th near Diamond ","","San Francisco",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"The Strip","Found","Market St. from Van Ness to Castro 'Hitch-hikers or by car","","San Francisco",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Maze Stone County Park","Found","4.5 mi W. on Hwy. 74","","Hemet",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Fremont Park ","General City Coordinates Used","opp. P.O.","","Stockton",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Twin Peaks Taavern ","Found","('Mixed bag') Castro & Market Sts.","","San Francisco",1980,"CA","(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Bidwell Park","Found","Cedar Grove","","Chico",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Stallion Oak Ranch ","Found","P.O. Box 155, Descanso, CA 92016 (Resort) ","","Descanso",1980,"CA","(P) - Private club - Inquire locally to admission,""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"The Bluffs","Found","On beach betw. Gaviota & Redondo ","","Long Beach",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","Location here is approximate for the middle of the beach between Gaviota st and Redondo. ",NA,NA,NA,NA,NA
"San Onofre Beach St. Park","Found","'B.A.' area at N. end of Camp Pendleton","","San Clemente",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Griffith Park","Found","nr. Golf course E. of Greek Theatre & Ferndale Loop parking lot ","","Hollywood",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"Greyhound Bus Depot T-Room","General City Coordinates Used","","","Redwood City",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Paradise Beach ","Found","On American River","","Sacramento ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Cal St. University ","Found","English Bldg. - T-Room","","Sacramento ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lloyd's ","General City Coordinates Used","(Bar only late) Hwy. 30 6 mi. from Arrowhead","","Running Springs",1980,"CA","(M) - Mixed Crowds - Some Straights","Restaurant","",NA,NA,NA,NA,NA
"Devil's Slide","General City Coordinates Used","'B.A.' Beach S. on Hwy. 1","","San Francisco",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Desert Palms Inn","General City Coordinates Used","1 blk. E. of Golf Club Dr. ","67-580 Hwy. 111","Palm Springs",1980,"CA","(*) - Very popular,""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Fremont Park","Found","","","Sacramento ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"The Company ","Found","(Disco) 2nd & G Sts.","","Davis",1980,"CA","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing","Bars/Clubs","",NA,NA,NA,NA,NA
"Manspace","Found","5524 Santa Monica Blvd. & 309 S. Orlando (Some SM) (Baths)","309 S. Orlando","Hollywood",1980,"CA","(P) - Private club - Inquire locally to admission,""(FFA) - Final Faith of America, or ask your friendly SM Serviceman""","Baths","",NA,NA,NA,NA,NA
"Sebastian's Playhouse ","Found","(Theatre reservations necessary)","","San Clemente",1980,"CA","(M) - Mixed Crowds - Some Straights","Theatre,Restaurant","",NA,NA,NA,NA,NA
"Hillcrest Park","Found","T-Rooms","","Fullerton",1980,"CA","Cruisy Area,(*) - Very popular","Cruising Areas","",NA,NA,NA,NA,NA
"Tenderloin husters at Flagg Bro. corner ","Found","Mason & Market Sts.","","San Francisco",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Mr. R's Adult Book Store","General City Coordinates Used","(Rock-Book, Inc.) 17 N. Locust & discount showroom - 29 N. Locust","","Long Beach",1980,"CA","(*) - Very popular","Book Store","",NA,NA,NA,NA,NA
"Vista Theatre ","Found","Sunset at Hollywood","","Hollywood",1980,"CA","","Theatre","",NA,NA,NA,NA,NA
"Lion Pub","Found","(Also good afternoons) Corner of Sacramento & Divisadero Sts.","","San Francisco",1980,"CA","(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Tiajuana Tilly's ","Found","Jai Alai Palace (Green wing) (Tijuana, B.C. Mexico)","","Tijuana",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,(M) - Mixed Crowds - Some Straights","Cruising Areas,Restaurant","",NA,NA,NA,NA,NA
"U.C.D. ","Found","Shields Library (4th Floor) & TB5 Bldg. T-Rooms","","Davis",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Muscle Beach & Pirates Cove","Found","","","Santa Monica",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Stanford U. ","Found","Meyer Library & Educ. Bldg. T-Rooms ","","Palo Alto",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Beach & Steps by Coast Inn","Found","","","Laguna Beach ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Kito's ","Found","17th & Capp","","San Francisco",1980,"CA","""(L) - Ladies/Ms, but seldom exclusively unless noted"",(PT) - Pool Table","Bars/Clubs","",NA,NA,NA,NA,NA
"Y.M.C.A.","Found","(Armed services)","","San Diego ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"West St. Beach","General City Coordinates Used","nr. Laguna Royal Motel S. Laguna ","","Laguna Beach ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Bear Pen","General City Coordinates Used","Squaw Valley","","Lake Tahoe",1980,"CA","(M) - Mixed Crowds - Some Straights,(*) - Very popular","Restaurant","",NA,NA,NA,NA,NA
"Cooper House - Pacific Garden Mall","Found","","","Santa Cruz",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"San Diego St. University","Found","Library and Art Bldg.","","San Diego ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Copper Shield ","Found","El Camino Real & Roosevelt","","Redwood City",1980,"CA","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours,(*) - Very popular","Bars/Clubs","",NA,NA,NA,NA,NA
"Gaf","General City Coordinates Used","(Liquor) (2 bars) (Disco) at Cathedral Rd. ","68-555 Ramon Rd.","Cathedral City",1980,"CA","(YC) - Young and/or collegiate types,(D) - Dancing,(PT) - Pool Table","Bars/Clubs","",NA,NA,NA,NA,NA
"Robertson Park","Found","(Days)","","Hollywood",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Taste of Leather ","Found","(Leather & erotica) Upstairs at Febe's - 11th & Folsom Sts.","","San Francisco",1980,"CA","(*) - Very popular","Business","",NA,NA,NA,NA,NA
"Ganesha Park","Found","","","Pomona",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Newcomers Service ","General City Coordinates Used","(Housing, jobs, counseling, ect.) Tel: 648-5948","","San Francisco",1980,"CA","","Organizations","",NA,NA,NA,NA,NA
"Roeding Park","Found","","","Fresno ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Caravan ","Found","(Latins) Greyhound Bus Depot Gabilon & Salinas","","Salinas",1980,"CA","(M) - Mixed Crowds - Some Straights,(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers","Bars/Clubs","",NA,NA,NA,NA,NA
"Elephant Walk","Found","('Picking up') 18th & Castro","","San Francisco",1980,"CA","","Restaurant","",NA,NA,NA,NA,NA
"Heisler Park","Found","","","Laguna Beach ",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"21st & K Sts.","Found","","","Bakersfield",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Hollywood Blvd.","Found","Walking, hitch-hiking or by car from Highland to Vermont ","","Hollywood",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","Approximate. Pin in middle of Hollywood between HIghland and Vermont.",NA,NA,NA,NA,NA
"Laguna Lake Park ","Found","at dusk ","","San Luis Obispo",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Alameda Plaza","Found","","","Santa Barbara",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Tuxedo Junction ","Found","21st Ave. & Geary St.","","San Francisco",1980,"CA","(P) - Private club - Inquire locally to admission,""(L) - Ladies/Ms, but seldom exclusively unless noted""","Bars/Clubs","",NA,NA,NA,NA,NA
"Pirates Cove 'B.A.' Beach ","Found","left turn off Avila ","","San Luis Obispo",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Balboa Park","Found","","","San Diego ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Granada Beach & parking lot","Found","","","Long Beach",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Hideaway ","Found","(Pin balls - adj. to Church St. Station) (Open days) 14th & Market","","San Francisco",1980,"CA","","Bars/Clubs","",NA,NA,NA,NA,NA
"Courthouse Park","Found","","","Fresno ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Youngmen's Hotels","Found","(Register by 8pm) 719 Ellis & 1233 Polk St.","719 Ellis","San Francisco",1980,"CA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","",NA,NA,NA,NA,NA
"Ellis Lake T-Rooms","Found","","","Marysville",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Shaw Exit off US 101","General City Coordinates Used","","","Fresno ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"West Hollywood ","Found","'Boys Town' area aff Santa Monica Blvd. nr. Rascals & Studio One","","Hollywood",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Mar Mesa Beach","Found","On UCSB Campus ","","Santa Barbara",1980,"CA","(M) - Mixed Crowds - Some Straights,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Memorial Park","Found","","","Pasadena",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Esplanade Shopping Center ","Found","Upstairs T-Room","","Ventura",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"San Gregorio ","Found","'B.A. Beach S. on Hwy 1. ","","San Francisco",1980,"CA","(*) - Very popular,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Truck Stop'","General City Coordinates Used","US 101 S. - east side","","Burlingame",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","",NA,NA,NA,NA,NA
"Parking lot behind Boots","General City Coordinates Used","","","Los Angeles ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Broadway ","Found","Plaza to Y.M.C.A.","","San Diego ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Weill Park","Found","26th & Q Sts.","","Bakersfield",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"M.C.C. ","General City Coordinates Used","","18th & Arizona","Venice",1980,"CA","M.C.C. - Metropolitan Community Church","Church","",NA,NA,NA,NA,NA
"Alondra Park","Found","","","Redondo Beach",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Recreation Park","Found","At 7th & Park Ave.","","Long Beach",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Aunt Hattie's ","General City Coordinates Used","(Disco) (Liquor) off Hwy. 111 (Many L)","68-999 Broadway","Cathedral City",1980,"CA","(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(WE) = Weekends","Bars/Clubs","",NA,NA,NA,NA,NA
"Hitch-hikers ","Found","On US 101 nr. State St. (afternoons)","","Santa Barbara",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Hideaway ","Found","","71-472 Culver Dr. ","Rancho Mirage",1980,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(YC) - Young and/or collegiate types,(*) - Very popular","Hotels","",NA,NA,NA,NA,NA
"Robertson Blvd.","Found","'The Bushes' betw. Beverly & Melrose ","","Hollywood",1980,"CA","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas","Approximate. Pin for middle of Robertson between Melrose and Beverly.",NA,NA,NA,NA,NA
"Sunset Point Resort ","Found","(Bunkhouse) (Beer & wine bar) (Campground, hot tubs, ect.) (Should be a winner) ","12037 Hwy. 20","Clearlake",1980,"CA","""(H) - Hotel, motel, or other overnight accomodations"",(*) - Very popular","Hotels","",NA,NA,NA,NA,NA
"Presidio Park","Found","","","San Diego ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Discovery Park ","Found","","","Bryte",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop'","General City Coordinates Used","U.S. 101, N. of Malibu","","Santa Monica",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Del Monte Beach","Found","","","Monterey",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Eden Square ","Found","","","Stockton",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Dolores Park ","Found","","","San Francisco",1980,"CA","(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Union 76 Truck Stop ","Found","1-10 opp. Ontario Speedway","","Ontario",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Ringold Alley ","Found","betw. 8th & 9th Sts. (Pat McA says 'hot' when Bob D is away)","","San Francisco",1980,"CA","(W) - Western or coyboy types,Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Sin Jose","Found","1st St. betw. San Salvador & Santa Clara ('Hustlers')","","San Jose",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Beach Rd. ","Found","then up hill before oil tanks ","","San Luis Obispo",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Greyhound Bus Depot","General City Coordinates Used","","","Santa Barbara",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"'Rest Stop'","Found","On I-280, N. of Bunker Hill Dr. exit","","Hillsborough",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Beach","Found","nr. end of N. 10th & Richards at jct. of American & Sacremento Rivers","","Sacramento ",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Miracle Mile ","Found","Folsom St. betw. 8th & 12th Sts.","","San Francisco",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Lake Tamescal Park & Beach","Found","","","Berkeley",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Greyhound Bus Depot","General City Coordinates Used","T-Room","","El Centro",1980,"CA","Cruisy Area","Cruising Areas","",NA,NA,NA,NA,NA
"Richard Elmon ","General City Coordinates Used","(Models & Escorts) (415) 641-1309","","San Francisco",1980,"CA","","Business","",NA,NA,NA,NA,NA
