"title","status","description","streetaddress","notes","city","state","amenityfeatures","type","Year","unclear_address","full.address","lon","lat","geoAddress"
"Houston Adult Library","Found","(books)","609 La Branch","3 locations listed. Broke up into 3 separate entries.","Houston","TX","","book store",1972,NA,NA,NA,NA,NA
"Houston Adult Library","Found","(books)","1203 Waugh Drive","3 locations listed. Broke up into 3 separate entries.","Houston","TX","","book store",1972,NA,NA,NA,NA,NA
"Adonis News ","Found","(Open 24 hrs.) ","4009 Hollister","2 locations listed. Broke up into 2 separate entries.","Houston","TX","","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Adultz News","Found","(Books, ‘flicks’, peep shows & cruisy arcades) (Open 24 hrs.) ","2411 W. Holcombe","3 locations listed. Broke up into 3 separate entries.","Houston","TX","(*)","Book Store",1979,NA,NA,NA,NA,NA
"Adultz News","Found","(Books, ‘flicks’, peep shows & cruisy arcades) (Open 24 hrs.) ","714 W. Alabama","3 locations listed. Broke up into 3 separate entries.","Houston","TX","(*)","Book Store",1979,NA,NA,NA,NA,NA
"Galleria Opera House","Found","(Old Market Sq.)","Travis St.","","Houston","TX","(M),(PE)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Galleria Shopping Center (nr. Skating Rink)","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"'The Circuit' - Westheimer & Lovett between Montrose & Mason","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Memorial Park","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Westheimer & I-610","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Vicinity of both Bus Depots","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Bell & Main","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Hi Lite","Found","(See Ranch Hi Lite)","","Same coordinates used here as Ranch Hi Lite.","Houston","TX","(*)","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Art Cinema Theatre","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas,Theatre",1976,NA,NA,NA,NA,NA
"Westheimer & I-610 ","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Memorial Park ","Found","","","","Houston","TX","Cruisy Area,(HOT)","Cruising Areas",1977,NA,NA,NA,NA,NA
"“The Circuit” – Westheimer & Lovett between Montrose & Mason","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"French Quarter ","Found","","Louisiana at Elgin ","","Houston","TX","","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Galleria Shopping Center nr. skating rink ","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Vicinity of both bus depots ","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Bell & Main ","Found","(Hustlers) ","","","Houston","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"'the Circuit'","Found","","Westheimer & Lovett, between Montrose & Mason","","Houston","TX","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Vicinity of both bus depots","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Memorial Park","Found","","","","Houston","TX","(HOT)","Cruising Areas",1975,NA,NA,NA,NA,NA
"Bell & Main","Found","","","","Houston","TX","(RT)","Cruising Areas",1975,NA,NA,NA,NA,NA
"‘Rest Stop’ on  I-10, 15 mi. E.   ","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Eve’s ","General City Coordinates Used","(Supposedly opening in Spring of ’77 – inquire locally) ","","","Houston","TX","(P),(G)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Mr. Peeper’s","Found","(Books, etc.) ","1427 Texas Ave., 5200 Telephone Rd. & 5400 Airline Dr.  ","2 locations so this entry has been split into 2. This location is the Texas Ave location.","Houston","TX","","Book Store",1978,NA,NA,NA,NA,NA
"Zither’s Pub ","Found","(Dart games) ","2301 ½ Waugh at Jackson ","","Houston","TX","","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Tuam & So.  Main   ","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"‘The Circuit’ –  Westheimer & Lovett betw. Montrose & Mason   ","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Bell & Main ","Found","(‘Hustlers’) ","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Memorial Park   ","Found","","","","Houston","TX","Cruisy Area,(HOT)","Cruising Areas",1978,NA,NA,NA,NA,NA
"Adultz News ","Found","(Alabama store open 24 hours *) ","714 W. Alabama, 2411 W. Holcombe, 5130 San Felipe & 227 Cavalcade   ","","Houston","TX","","Book Store",1978,NA,NA,NA,NA,NA
"Depository II ","Found","(New location for this ‘super bar’ with (HIP) (YC) (Some G) (Disco) (D) (E) & (AH) until 4 a.m.) ","401 McGowan at Bagby ","","Houston","TX","(*),(HIP),(YC),(D),(E),(AH)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Westheimer &  I-610   ","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Vicinity of both  Bus Depots   ","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Climax Book Store & Arcades ","Found","","1407 Richmond & 10529 So. Post Oak ","2 locations so this entry has been split into 2. This location is the Richmond location.","Houston","TX","","Book Store",1978,NA,NA,NA,NA,NA
"Galleria Shopping Center nr. Skating Rink ","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Flowers by Ron ","Found","","900 Lovett & 7 Penzoil Plaza","2 locations so this entry has been split into 2. This location is the Penzoil Plaza location.","Houston","TX","","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Memorial Park & adj. Pathway","Found","","","","Houston","TX","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"'Rest Stop'  - 15 E. on I-10","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"'Rest Stop' on US 59 N","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Bell & Main","Found","('Hustlers')","","","Houston","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Galleria Mall nr. Skating Rink","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Steak 'n' Egg","Found","","Louisiana & Elgin","","Houston","TX","(M),(R),(C),(AH)","Restaurant",1980,NA,NA,NA,NA,NA
"'The Circuit'","Found","Westheimer & Lovett, betw. Montrose & Mason","","","Houston","TX","(AYOR),Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Vincinity of both bus depots","General City Coordinates Used","","","","Houston","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Tuam & S. Main","Found","","","","Houston","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Copa","General City Coordinates Used","(Disco) Opening soon - inquire locally","","","Houston","TX","(D)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Climax Book Store & Arcades ","Found","","1407 Richmond & 10529 So. Post Oak ","2 locations so this entry has been split into 2. This location is the So. Post Oak location.","Houston","TX","","Book Store",1978,NA,NA,NA,NA,NA
"Flowers by Ron ","Found","","900 Lovett & 7 Penzoil Plaza","This location is approximate. 2 locations so this entry has been split into 2. This location is the Lovett location.","Houston","TX","","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Mr. Peeper’s","Found","(Books, etc.) ","1427 Texas Ave., 5200 Telephone Rd. & 5400 Airline Dr.  ","2 locations so this entry has been split into 2. This location is the Airline Drive location.","Houston","TX","","Book Store",1978,NA,NA,NA,NA,NA
"Rendezvous","General City Coordinates Used","","","","McAllen","TX","","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Ladies' Lounge","General City Coordinates Used","(Also across the border in Renosa, Mexico are supposed to be the Ladies Lounge & Lion's Den. Inquire locally.)","","In mexico, general city coordinates for Renosa used.","McAllen","TX","","Bars/Clubs",1971,NA,NA,NA,NA,NA
"The Lion's Den","General City Coordinates Used","(Also across the border in Renosa, Mexico are supposed to be the Ladies Lounge & Lion's Den. Inquire locally.)","","In mexico, general city coordinates for Renosa used.","McAllen","TX","","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Friendly Lounge","General City Coordinates Used","","","","McAllen","TX","","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Scotty's ","General City Coordinates Used","(inquire locally)","","","McAllen","TX","(M)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Outpost ","General City Coordinates Used","(Some W) ","Hwy. 107 ","","McAllen","TX","","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Valley Bus Station – T-Rooms","General City Coordinates Used","(Latins) ","","","McAllen","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Friendly Lounge ","General City Coordinates Used","","106 East Hwy.","","McAllen","TX","","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Rendezvous","General City Coordinates Used","(Inquire locally) (Also Supposedly across the border in Renosa, Mexico, are two bars, the Lion’s Den & Ladies Lounge)","","","McAllen","TX","","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Valley Bus Station - T-Room ","General City Coordinates Used","(Latins)","","","McAllen","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Valley Bus Station ","General City Coordinates Used","(Latins) ","","","McAllen","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Valley Bus Station  – T-Room   ","General City Coordinates Used","(Latins) ","","","McAllen","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Outpost","General City Coordinates Used","(Some W)","Hwy. 107","","McAllen","TX","(W)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Valley Bus Station","General City Coordinates Used","T-Rooms (Latins)","","","McAllen","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Fifties","General City Coordinates Used","","11 1/2 St.","","McAllen","TX","(YC),(D)","Bars/Clubs",1980,NA,NA,NA,NA,NA
"Travis Park","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Tap Room","Found","Gunter Hotel","","","San Antonio","TX","(M)","Bars/Clubs,Hotels",1974,NA,NA,NA,NA,NA
"Gay Silhouette","Found","(Latins)","","","San Antonio","TX","(RT),(HIP)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Safari","General City Coordinates Used","","","","San Antonio","TX","(HIP),(RT)","Bars/Clubs",1974,NA,NA,NA,NA,NA
"Olmas Park","Found","","","Appears to be a neighborhood, not an actual park. ","San Antonio","TX","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Brackenridge Park - behind Trinity University","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Tap Room","Found","Gunter Hotel","","approximate","San Antonio","TX","(*)","Hotels,Bars/Clubs",1971,NA,NA,NA,NA,NA
"Ponderosa","General City Coordinates Used","","","","San Antonio","TX","(RT)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Paul's Grove","General City Coordinates Used","('The Country' WFSS)","","Used coordinates for Helotes, TX. Location is 25 mi out from San Antonio. ","San Antonio","TX","(*),(P),(D)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Ponderosa","General City Coordinates Used","","","","San Antonio","TX","(RT)","Bars/Clubs",1969,NA,NA,NA,NA,NA
"Paul's Grove","General City Coordinates Used","(The 'Country' W-F-S-S only) about 25 miles NW near Helotes","","Used coordinates for Helotes, TX. Location is 25 mi out from San Antonio. ","San Antonio","TX","(D),(P)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Ponderosa","General City Coordinates Used","","","","San Antonio","TX","(RT)","Bars/Clubs",1968,NA,NA,NA,NA,NA
"Ponderosa","General City Coordinates Used","","","","San Antonio","TX","(D)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Buddha ","General City Coordinates Used","","","","San Antonio","TX","(D)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Paul's Grove (The Country)","General City Coordinates Used","weekends","","Used coordinates for Helotes, TX. Location is 25 mi out from San Antonio. ","San Antonio","TX","(D),(P)","Bars/Clubs",1966,NA,NA,NA,NA,NA
"Zoo","Found","","3240 N.W. Loop 410","","San Antonio","TX","(G),(D)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Wonderland Mall – Basement T-Rooms","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Olmos Park","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Brackenridge Park – Trinity U. ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Travis Park ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Crown Health Club ","Found","(No booze) ","14789 Bandera Rd., past Farm Rd. 1604 ","","San Antonio","TX","(P),(H)","Hotels",1979,NA,NA,NA,NA,NA
"Mountain View Villa","General City Coordinates Used","(Some G) ","Camp Bullis Rd. exit off I-10","","San Antonio","TX","(R),(S)","Restaurant",1979,NA,NA,NA,NA,NA
"Spanish Harlem ","Found","(Latins) ","359 W. Josephine at St. Mary’s ","","San Antonio","TX","(D),(S)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Brackenridge Park","Found","(behind Trinity Univ.)","","","San Antonio","TX","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Olmos Park ","Found","","","","San Antonio","TX","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Paul’s Grove","General City Coordinates Used","(also called the ‘Country’, some (G) Open on Wed., Fri., Sat. only)","about 25 miles N.W. near Helotes","Used coordinates for Helotes, TX. Location is 25 mi out from San Antonio. ","San Antonio","TX","(YC),(D),(P),(*)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Safari ","General City Coordinates Used","","W. on Sterling Hwy.","","San Antonio","TX","(RT)","Bars/Clubs",1972,NA,NA,NA,NA,NA
"Travis Park","Found","","","","San Antonio","TX","Cruisy Areas","Cruising Areas",1972,NA,NA,NA,NA,NA
"Tap Room","Found","Gunter Hotel","N. St. Marys & Travis ","","San Antonio","TX","","Hotels,Bars/Clubs",1972,NA,NA,NA,NA,NA
"Louise’s ","Found","","117 ½ S. Main","","San Antonio","TX","","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Travis Park ","Found","","","","San Antonio","TX","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Brackenridge Park  ","Found","(behind Trinity Univ.)","","","San Antonio","TX","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Safari ","General City Coordinates Used","","W. on Sterling Hwy. ","","San Antonio","TX","(HIP),(RT)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Gay Silhouette","Found","(Latins)","Bandera & Culebra","","San Antonio","TX","(HIP),(RT)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Tap Room ","Found","Gunter Hotel","St. Mary’s & Travis ","","San Antonio","TX","(M)","Hotels,Bars/Clubs",1973,NA,NA,NA,NA,NA
"Paul’s Grove ","General City Coordinates Used","(some (G)) (The once very popular ‘Country’ burned, but has partially reopened and is open Wed., Fri, & Sat. only) (about 25 mi. N.W. near Helotes)","","Used coordinates for Helotes, TX. Location is 25 mi out from San Antonio. ","San Antonio","TX","(P),(YC),(D)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Olmos Park ","Found","","","","San Antonio","TX","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Ponderosa","General City Coordinates Used","","W. on Sterlin Hwy","","San Antonio","TX","(RT)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Paul's Grove","General City Coordinates Used","(Weekends) ","about 25 miles N.W. near Helotes","","San Antonio","TX","(P),(D),(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Olmas Park","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Dirty Sally's ","General City Coordinates Used","(supposedly opening in '75 - Inquire locally)","","","San Antonio","TX","","Bars/Clubs",1976,NA,NA,NA,NA,NA
"Tap Room","Found","Gunter Hotel","Travis at St. Marys","","San Antonio","TX","(M)","Hotels,Bars/Clubs",1976,NA,NA,NA,NA,NA
"Travis Park ","Found","","","","San Antonio","TX","Cruisy Area,(RT)","Cruising Areas",1976,NA,NA,NA,NA,NA
"Brackenridge Park - behind Trinity U.","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Olmas Park ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Brackenridge Bridge – behind Trinity U. ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Travis Park ","Found","(hustlers) ","","","San Antonio","TX","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Spanish Harlem ","Found","(Latins) (Sign says “Follies”) ","359 W. Josephine St. at St. Mary’s","","San Antonio","TX","(D),(S)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Tap Room ","Found","Gunter Motel","Travis at St. Mary's","","San Antonio","TX","(M)","Cruising Areas,Hotels,Bars/Clubs",1975,NA,NA,NA,NA,NA
"Brackenridge Park","Found","","behind Trinity University ","","San Antonio","TX","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Olmas Park","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Travis Park","Found","","","","San Antonio","TX","(RT)","Cruising Areas",1975,NA,NA,NA,NA,NA
"Tap Room ","Found","Gunter Hotel ","Travis at St. Mary’s ","","San Antonio","TX","(M)","Bars/Clubs,Hotels",1978,NA,NA,NA,NA,NA
"Travis Park ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Crown Baths & Bunkhouse ","Found","","15 mi. from town – take Bandera Rd. past Farm Rd. 1604, left at blinking yellow light. PO Box 182, San Antonio, TX 78291  ","","San Antonio","TX","(P),(H)","Hotels,Baths",1978,NA,NA,NA,NA,NA
"Wonderland Mall – Basement T-Rooms ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Brackenridge Park – behind Trinity U. ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Olmas Park ","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Spanish Harlem ","Found","(Latins) (Sign says ‘Follies’) ","259 W. Josephine St. at St. Mary’s ","","San Antonio","TX","(D),(S)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Brackenridge Park","Found","Trinity U","","","San Antonio","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Olmos Park","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"M.C.C. ","General City Coordinates Used","(512) 227-7164","","","San Antonio","TX","","Church",1980,NA,NA,NA,NA,NA
"Wonderland Mall","Found","Basement T-Rooms","","","San Antonio","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Travis Park","Found","","","","San Antonio","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Lucy Park ","Found","","","","Wichita Falls","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Sike’s Center Mall ","Found","","","","Wichita Falls","TX","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Office","Found","","800 Travis","","Wichita Falls","TX","(M)","Cruising Areas",1975,NA,NA,NA,NA,NA
"Pub Lounge","Found","","804 Lamar","","Wichita Falls","TX","(M),(YC),(*)","Cruising Areas",1975,NA,NA,NA,NA,NA
"Lucy Park","Found","","","","Wichita Falls","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Sike's Center Mall","Found","","","","Wichita Falls","TX","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Raven Room","General City Coordinates Used","","","","Charlottesville","VA","(YC),(M)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Residence Club","General City Coordinates Used","","","","Covington","KY","(P),(D),(G)","Bars/Clubs",1971,NA,NA,NA,NA,NA
"Downstairs Club","General City Coordinates Used","(Mostly straight ‘bike crowd’ now – but maybe coming ‘back’ again) (hwy. 17) (South Ft. Mitchell)","Madison Pike","","Covington","KY","(M)","Bars/Clubs",1973,NA,NA,NA,NA,NA
"Jochebo's","General City Coordinates Used","Cellar or downstairs club","32 Hwy. So. Ft. Mithchell","","Covington","KY","(P),(D),(*)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"Residence Club","General City Coordinates Used","","Route 8, Ludlow","","Covington","KY","(P),(D),(G)","Bars/Clubs",1970,NA,NA,NA,NA,NA
"The Place ","General City Coordinates Used","(Some G) ","Madison Pike – Highway 17 at Erlanger in S. Ft. Mitchell  ","","Covington","KY","(P),(D)","Bars/Clubs",1977,NA,NA,NA,NA,NA
"The Place","General City Coordinates Used","","Madison Pike - Hwy. 17 in S. Ft. Mitchell","","Covington","KY","(P),(D),(G),(RT)","Bars/Clubs",1975,NA,NA,NA,NA,NA
"The Place ","General City Coordinates Used","(Some G) ","Madison Pike – Hwy. 17 at Erlanger in S. Ft. Mitchell ","","Covington","KY","(P),(D)","Bars/Clubs",1978,NA,NA,NA,NA,NA
"Main st at the Esplanade","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"University of KY -- Fine Arts Building","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Jerry's Drive Inn","Found","","","","Lexington","KY","(M),(YC),(C)","Other",1971,NA,NA,NA,NA,NA
"Greyhound Bus Stop","General City Coordinates Used","","","","Lexington","KY","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Main St. at the Esplande","Found","","","","Lexington","KY","Cruisy Area,(HOT)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"U. of KY – Fine Arts Bldg. - T-rooms","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Club 85 Adult Books","General City Coordinates Used","","2 mi. N. on I-85","","Lexington","NC","(M)","Book Store",1979,NA,NA,NA,NA,NA
"Foxey’s Hound","Found","(after Hours)","575 New Circle Rd. N.E. ","","Lexington","KY","(M),(R),(C),(YC)","Restaurant",1973,NA,NA,NA,NA,NA
"University of Kentucky - Fine Arts Building","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Main St. at the Esplanade","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Main Street at the Esplanade ","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1977,NA,NA,NA,NA,NA
"Y.M.C.A. ","Found","","239 E. High Street ","","Lexington","KY","(M),(H)","Hotels",1977,NA,NA,NA,NA,NA
"Bungalow ","General City Coordinates Used","","Mill Street near Main ","","Lexington","KY","","Bars/Clubs",1977,NA,NA,NA,NA,NA
"Main St. at the Eplanade","Found","","","?","Lexington","KY","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Univ. of Ky. ","Found","","Fine Arts Bldg.","","Lexington","KY","Cruisy Area","Cruising Areas",1975,NA,NA,NA,NA,NA
"Club 85 Adult Book Store ","General City Coordinates Used","","2 mi. No. on I-85","","Lexington","NC","","Book Store",1978,NA,NA,NA,NA,NA
"Greyhound Bus  Depot   ","General City Coordinates Used","","","","Lexington","KY","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Main St. at the  Esplanade  ","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"Univ. of Kentucky  – Fine Arts Bldg. T-Room   ","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1978,NA,NA,NA,NA,NA
"U. of KY- Fine Arts Bldg. T-Room","Found","","","","Lexington","KY","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Club 85 Adult Books","General City Coordinates Used","2 mi. N. on I-85","","","Lexington","NC","(M)","Book Store",1980,NA,NA,NA,NA,NA
"Greyhound Bus Depot","General City Coordinates Used","","","","Lexington","KY","Cruisy Area","Cruising Areas",1980,NA,NA,NA,NA,NA
"Main St. at the Esplanade","Found","","","","Lexington","KY","Cruisy Area,(AYOR)","Cruising Areas",1980,NA,NA,NA,NA,NA
"Savoy Theatre","Found","","","Was located at 211 W. Jefferson Street. See http://cinematreasures.org/theaters/28074 for images and history of location.","Louisville","KY","Cruisy Area","Cruising Areas,Theatre",1974,NA,NA,NA,NA,NA
"Iraquois Park","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Cherokee Park","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Public Library","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Central Park","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1974,NA,NA,NA,NA,NA
"Steak ‘n’ Eggs  ","Found","","1136 S. 4th ","","Louisville","KY","(M),(R),(C),(AH),(E)","Restaurant",1979,NA,NA,NA,NA,NA
"Iroquois Park ","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Cherokee Park ","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"‘The Falls’ – Across Ohio River in Jeffersonville, Indiana","Found","","","","Louisville","KY","Cruisy Area,(*)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Mother’s Brew","Found","(Looks promising)","204 W. Market nr. 2nd ","","Louisville","KY","(G),(P),(S),(D)","Bars/Clubs",1979,NA,NA,NA,NA,NA
"Public Library – York St. ","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Central Park – 4th & Magnolia ","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1979,NA,NA,NA,NA,NA
"Public Library ","Found","","York St.","","Louisville","KY","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Iroquois Park ","Found","","","","Louisville","KY","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Cherokee Park","Found","","","","Louisville","KY","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Central Park","Found","","4th & Magnolia ","","Louisville","KY","Cruisy Areas","Cruising Areas",1973,NA,NA,NA,NA,NA
"Savoy Theatre","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas,Theatre",1976,NA,NA,NA,NA,NA
"Iriquois Park","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
"Central Park - 4th & Magnolia","Found","","","","Louisville","KY","Cruisy Area","Cruising Areas",1976,NA,NA,NA,NA,NA
