"title","description","streetaddress","city","state","type","amenityfeatures","Year","unclear_address","notes","full.address","lon","lat","geoAddress","status"
"George's Majestic","","519 W. Dickson","Fayetteville","AR","Bars/Clubs","(M),(OC)",1983,NA,"","519 W. Dickson, Fayetteville, AR",-94.166454,36.066189,"519 w dickson st, fayetteville, ar 72701, usa","Geocoded"
"R.D.'s Disco","(Disco) (Rear)","325 W. Dickson","Fayetteville","AR","Bars/Clubs","(YC),(P),(D)",1983,NA,"","325 W. Dickson, Fayetteville, AR",-94.1640541,36.0661025,"325 w dickson st, fayetteville, ar 72701, usa","Geocoded"
"Studio 34","(Disco) (Some L)","634 Division","Ft. Smith","AR","Bars/Clubs","(*),(M),(YC),(D),(L)",1983,NA,"","634 Division, Ft. Smith, AR",-94.4105131,35.4006342,"634 division st, fort smith, ar 72904, usa","Geocoded"
"Village Landing","(Some L) (Disco)","3028 N. 6th St.","Ft. Smith","AR","Bars/Clubs","(*),(YC),(L),(D)",1983,NA,"","3028 N. 6th St., Ft. Smith, AR",-94.4003877,35.409082,"3028 n 6th st, fort smith, ar 72904, usa","Geocoded"
"Our House Lounge","(Upstairs disco)","336 Central Ave.","Hot Springs","AR","Bars/Clubs","(D),(*)",1983,NA,"","336 Central Ave., Hot Springs, AR",-93.054107,34.514824,"336 central ave, hot springs, ar 71901, usa","Geocoded"
"Chaps Saloon","(Sign says Squeeze Inn)","1701 University","Little Rock","AR","Bars/Clubs","(*),(YC),(W)",1983,NA,"","1701 University, Little Rock, AR",-92.3398772,34.7205325,"university dr, little rock, ar 72204, usa","Geocoded"
"Discovery","(DIsco) (riverfront Dr. off Cantrell Rd.)","1021 Jessie Rd.","Little Rock","AR","Bars/Clubs","(*),(YC),(D),(S)",1983,NA,"","1021 Jessie Rd., Little Rock, AR",-92.3002408,34.75858,"1021 jessie rd, little rock, ar 72202, usa","Geocoded"
"Regina's Place","(Books & Movie arcade)","1314 Main St.","Little Rock","AR","Book Store","",1983,NA,"","1314 Main St., Little Rock, AR",-92.3867125,34.6528775,"1314 mabelvale main st, mabelvale, ar 72103, usa","Geocoded"
"Variations","(Disco)","113 1/2 Main St.","Little Rock","AR","Bars/Clubs,Restaurant","(YC),(D),(S),(R),(*)",1983,NA,"","113 1/2 Main St., Little Rock, AR",-92.2702089,34.747515,"113 main st, little rock, ar 72201, usa","Geocoded"
"Silver Dollar","(Some L)","2710 Asher Ave.","Little Rock","AR","","(L)",1983,NA,"","2710 Asher Ave., Little Rock, AR",-92.3048076,34.7314899,"2710 asher ave, little rock, ar 72204, usa","Geocoded"
"Garden of Eden Bookstore","","314 E. Lincoln Ave.","Anaheim","CA","Book Store","",1983,NA,"","314 E. Lincoln Ave., Anaheim, CA",-117.9112417,33.8369802,"314 e lincoln ave, anaheim, ca 92805, usa","Geocoded"
"Awful Annie's Cafe","","160 Sacramento","Auburn","CA","Restaurant","(M),(R)",1983,NA,"","160 Sacramento, Auburn, CA",-121.0782368,38.89502,"160 sacramento st, auburn, ca 95603, usa","Geocoded"
"E & G Cafe","","729 Lincoln Way","Auburn","CA","Restaurant","(M)",1983,NA,"","729 Lincoln Way, Auburn, CA",-121.0667651,38.9009936,"729 lincoln way, auburn, ca 95603, usa","Geocoded"
"Casablanca","(Disco)","1927 'K' St.","Bakersfield","CA","Bars/Clubs","(YC),(D),(*)",1983,NA,"","1927 'K' St., Bakersfield, CA",-119.0177549,35.376914,"1927 k st, bakersfield, ca 93301, usa","Geocoded"
"Lone Star","(Some L) (Looks promising) (Disco-WE)","1030 20th St.","Bakersfield","CA","Bars/Clubs","(L),(D),(PT),(WE)",1983,NA,"","1030 20th St., Bakersfield, CA",-119.0137816,35.3773588,"1030 20th st, bakersfield, ca 93301, usa","Geocoded"
"Steam Works","(Baths) (Hot tub) 1 block off University Ave.","2107 4th St","Berkeley","CA","Bathhouses","(*)",1983,NA,"","2107 4th St, Berkeley, CA",-122.298857,37.8659644,"2107 fourth st, berkeley, ca 94710, usa","Geocoded"
"900 Cherry Street","","900 Cherry St.","Chico","CA","Bars/Clubs","(*),(D)",1983,NA,"","900 Cherry St., Chico, CA",-121.8415384,39.7208288,"900 cherry st, chico, ca 95928, usa","Geocoded"
"Swingers Books","","881 Humboldt Ave.","Chico","CA","Book Store","(M)",1983,NA,"","881 Humboldt Ave., Chico, CA",-121.8257016,39.7285667,"881 humboldt ave, chico, ca 95928, usa","Geocoded"
"Scotty's Castle","","101 S. Main St.","Lakeport","CA","Restaurant","(M),(R),(E)",1983,NA,"","101 S. Main St., Lakeport, CA",-122.9155246,39.0421247,"101 s main st, lakeport, ca 95453, usa","Geocoded"
"Sunset Point Resort","(Bunkhouse) (Beer & wine bar) (R - Brunch WE) (P.O. Box 455), Clear Lake Oaks, CA 95423 (707) 998-1451","12037 Hwy. 20","Clear Lake","CA","Restaurant,Hotel","(H),(R),(WE),(*)",1983,NA,"","12037 Hwy. 20, Clear Lake, CA",-122.685485,39.019599,"12037 state hwy 20, clearlake oaks, ca 95423, usa","Geocoded"
"Hans' 877 Club","(R-Lunch)","877 W. 19th","Costa Mesa","CA","Bars/Clubs","(D),(PT)",1983,NA,"","877 W. 19th, Costa Mesa, CA",-117.935353,33.6428689,"877 w 19th st, costa mesa, ca 92627, usa","Geocoded"
"M.C.C.","","215 E. 23rd","Costa Mesa","CA","Religious Institution","(MCC)",1983,NA,"","215 E. 23rd, Costa Mesa, CA",-117.9018087,33.6516813,"215 23rd st, costa mesa, ca 92627, usa","Geocoded"
"Newport Station","(Disco) (Closed Mon. & Tues.) ('Tops in Orange County')","1945 Placentia","Costa Mesa","CA","Bars/Clubs,Restaurant","(YC),(D),(R),(*)",1983,NA,"","1945 Placentia, Costa Mesa, CA",-117.9332755,33.6439303,"1945 placentia ave, costa mesa, ca 92627, usa","Geocoded"
"Mi Wey","","11513 Washington Blvd.","Culver City","CA","Bars/Clubs","(L)",1983,NA,"","11513 Washington Blvd., Culver City, CA",-118.41665,34.0010839,"11513 washington blvd, los angeles, ca 90066, usa","Geocoded"
"Sister Suds","","10762 1/2 Washington Blvd.","Culver City","CA","Bars/Clubs","(L)",1983,NA,"","10762 1/2 Washington Blvd., Culver City, CA",-118.4067162,34.0154127,"10762 washington blvd, culver city, ca 90232, usa","Geocoded"
"Red Boar","","10095 Saich Way","Cupertino","CA","Bars/Clubs","(D),(E),(*)",1983,NA,"","10095 Saich Way, Cupertino, CA",-122.0376316,37.3241187,"10095 saich way, cupertino, ca 95014, usa","Geocoded"
"Savoy","","20469 Silverado St.","Cupertino","CA","Bars/Clubs","(L),(D),(*)",1983,NA,"","20469 Silverado St., Cupertino, CA",-122.0316389,37.315537,"20469 silverado ave, cupertino, ca 95014, usa","Geocoded"
"The Company","(Disco)","2nd St.","Davis","CA","Bars/Clubs","(M),(YC),(D)",1983,NA,"","2nd St., Davis, CA",-121.7200488,38.5479535,"2nd st, davis, ca, usa","Geocoded"
"The Company","(Disco)","'G' St.","Davis","CA","Bars/Clubs","(M),(YC),(D)",1983,NA,"","'G' St., Davis, CA",-121.739834,38.5470274,"g st, davis, ca 95616, usa","Geocoded"
"'F' Street Bookstore","","158 E. Main","El Cajon","CA","Book Store","(*)",1983,NA,"","158 E. Main, El Cajon, CA",-116.9609898,32.7951953,"158 e main st, el cajon, ca 92020, usa","Geocoded"
"Eddie's","","4101 N. Arden Dr.","El Monte","CA","Bars/Clubs","(PT)",1983,NA,"","4101 N. Arden Dr., El Monte, CA",-118.0455157,34.0809973,"4101 arden dr, el monte, ca 91731, usa","Geocoded"
"Richmond St. Depot","","142 Richmond St.","El Segundo","CA","Restaurant","(R)",1983,NA,"","142 Richmond St., El Segundo, CA",-118.4170088,33.9176673,"142 richmond st, el segundo, ca 90245, usa","Geocoded"
"Baths","(Thru bar - closes 12 midnight or 1 am)","7th St.","Eureka","CA","Bars/Clubs,Bathhouses","(M),(OC),(PT)",1983,NA,"","7th St., Eureka, CA",-124.1547789,40.801794,"7th st, eureka, ca 95501, usa","Geocoded"
"Skyhorse Saloon","(Male strippers on Thurs)","209 2nd St.","Eureka","CA","Bars/Clubs","(M)",1983,NA,"","209 2nd St., Eureka, CA",-124.1695466,40.8042036,"209 2nd st, eureka, ca 95501, usa","Geocoded"
"Golden Gate Adult Book Store","(cruisy back room)","40555-B Grimmer Blvd.","Fremont","CA","Book Store,Cruising Areas","",1983,NA,"","40555-B Grimmer Blvd., Fremont, CA",-121.9659498,37.5362781,"40555 grimmer blvd # b, fremont, ca 94538, usa","Geocoded"
"Denny's","","710 Shaw","Fresno","CA","Restaurant","(M),(R),(C),(AH)",1983,NA,"","710 Shaw, Fresno, CA",-119.7740349,36.8090473,"710 e shaw ave, fresno, ca 93710, usa","Geocoded"
"Dan's","","4944 N. Blackstone","Fresno","CA","Restaurant","(M),(R),(C),(AH)",1983,NA,"","4944 N. Blackstone, Fresno, CA",-119.790146,36.8074648,"4944 n blackstone ave, fresno, ca 93726, usa","Geocoded"
"Denny's","","3120 N. Blackstone","Fresno","CA","Restaurant","(M),(R),(C),(AH)",1983,NA,"","3120 N. Blackstone, Fresno, CA",-119.7901564,36.77922,"3120 n blackstone ave, fresno, ca 93703, usa","Geocoded"
"Fresno Express","(AH-WE) (Also Back Room)","708 N. Blackstone","Fresno","CA","Bars/Clubs","(YC),(D),(*),(AH),(WE)",1983,NA,"","708 N. Blackstone, Fresno, CA",-119.7902591,36.752664,"708 n blackstone ave, fresno, ca 93701, usa","Geocoded"
"M.C.C.","(Unitarian Church)","4144 N. Millbrook","Fresno","CA","Religious Institution","(MCC)",1983,NA,"","4144 N. Millbrook, Fresno, CA",-119.762532,36.7927974,"4144 n millbrook ave, fresno, ca 93726, usa","Geocoded"
"Palace Saloon","","4030 E. Belmont","Fresno","CA","Bars/Clubs","(L),(D),(PT),(*)",1983,NA,"","4030 E. Belmont, Fresno, CA",-119.7573238,36.7502101,"4030 e belmont ave, fresno, ca 93702, usa","Geocoded"
"Red Lantern","(Some W, SM OC) (Cruisy)","4618 E. Belmont","Fresno","CA","Bars/Clubs,Cruising Areas","(W),(SM),(OC),(PT),(*)",1983,NA,"","4618 E. Belmont, Fresno, CA",-119.7446805,36.7502129,"4618 e belmont ave, fresno, ca 93702, usa","Geocoded"
"Steam Works","(Baths)","1551 'E' St.","Fresno","CA","Bathhouses","(*)",1983,NA,"","1551 'E' St., Fresno, CA",-119.8023941,36.7352122,"1551 e st, fresno, ca 93706, usa","Geocoded"
"D.O.K. West","(Disco)","12889 Garden Grove Blvd.","Garden Grove","CA","Bars/Clubs","(YC),(D),(*)",1983,NA,"","12889 Garden Grove Blvd., Garden Grove, CA",-117.907669,33.7744991,"12889 garden grove blvd, garden grove, ca 92843, usa","Geocoded"
"Gay & Lesbian Center","(714) 534-3263","12832 Garden Grove Blvd.","Garden Grove","CA","Community Center/Support Groups","",1983,NA,"","12832 Garden Grove Blvd., Garden Grove, CA",-117.9086842,33.7741041,"12832 garden grove blvd, garden grove, ca 92843, usa","Geocoded"
"Happy Hour","","12081 Garden Grove Blvd.","Garden Grove","CA","Restaurant","(L),(R),(PT)",1983,NA,"","12081 Garden Grove Blvd., Garden Grove, CA",-117.9220774,33.7745694,"12081 garden grove blvd, garden grove, ca 92843, usa","Geocoded"
"Hip Pocket","(Adult books, toys, films, etc)","12868 Garden Grove Blvd.","Garden Grove","CA","Book Store","",1983,NA,"","12868 Garden Grove Blvd., Garden Grove, CA",-117.908159,33.7737366,"12868 garden grove blvd, garden grove, ca 92843, usa","Geocoded"
"Iron Spur","(leather shop) (Cruisy) (Also C-AH)","11086 Garden Grove Blvd.","Garden Grove","CA","Bars/Clubs,Cruising Areas,Restaurant","(*),(SM),(PT),(C),(W)",1983,NA,"","11086 Garden Grove Blvd., Garden Grove, CA",-117.9394866,33.7740251,"11086 garden grove blvd, garden grove, ca 92843, usa","Geocoded"
"Mug","","8612 Garden Grove Blvd.","Garden Grove","CA","Restaurant","",1983,NA,"","8612 Garden Grove Blvd., Garden Grove, CA",-117.9817456,33.7735325,"8612 garden grove blvd, garden grove, ca 92844, usa","Geocoded"
"Orange County Logging Co.","(Looks promising)","12792 Brookhurts","Garden Grove","CA","","",1983,NA,"","12792 Brookhurts, Garden Grove, CA",-117.9565232,33.776908,"12792 brookhurst st, garden grove, ca 92840, usa","Geocoded"
"Party House","(Books, toys, etc.)","8751 Garden Grove Blvd.","Garden Grove","CA","Book Store","",1983,NA,"","8751 Garden Grove Blvd., Garden Grove, CA",-117.9797444,33.7740887,"8751 garden grove blvd, garden grove, ca 92844, usa","Geocoded"
"Rumour Hazzit","('Preppies') (Disco) (enter thru rear)","8741 Garden Grove Blvd.","Garden Grove","CA","Bars/Clubs","(D),(PT)",1983,NA,"","8741 Garden Grove Blvd., Garden Grove, CA",-117.9799071,33.7741382,"8741 garden grove blvd, garden grove, ca 92844, usa","Geocoded"
"Tiki Hut","(Some W, OC) (Cruisy)","9042 Garden Grove Blvd.","Garden Grove","CA","Bars/Clubs,Cruising Areas","(*),(W),(OC)",1983,NA,"","9042 Garden Grove Blvd., Garden Grove, CA",-117.9743727,33.7736793,"9042 garden grove blvd, garden grove, ca 92844, usa","Geocoded"
"El Capitan","","13825 S. Hawthorne","Hawthorne","CA","Bars/Clubs","",1983,NA,"","13825 S. Hawthorne, Hawthorne, CA",-118.3530205,33.9058655,"13825 hawthorne blvd, hawthorne, ca 90250, usa","Geocoded"
"Big Mama's","","22615 Mission Blvd.","Hayward","CA","Restaurant","(*)",1983,NA,"","22615 Mission Blvd., Hayward, CA",-122.0841915,37.6717519,"22615 mission blvd, hayward, ca 94541, usa","Geocoded"
"Eli Ann's Pub on the Park","","22800 Mission Blvd.","Hayward","CA","Bars/Clubs","(L)",1983,NA,"","22800 Mission Blvd., Hayward, CA",-122.0820214,37.6700205,"22800 mission blvd, hayward, ca 94541, usa","Geocoded"
"Driftwood Lounge","","22170 Mission Blvd.","Hayward","CA","Bars/Clubs","(L),(PT),(D)",1983,NA,"","22170 Mission Blvd., Hayward, CA",-122.0895512,37.6771218,"22170 mission blvd, hayward, ca 94541, usa","Geocoded"
"Golden Gate Adult Books","","22553 Main St.","Hayward","CA","Book Store","",1983,NA,"","22553 Main St., Hayward, CA",-122.083345,37.6732238,"22553 main st, hayward, ca 94541, usa","Geocoded"
"Turf Club","(Something for everyone) (Open 6am WE) (BBQ Patio in back)","22517 Mission Blvd.","Hayward","CA","Restaurant","(*),(WE)",1983,NA,"","22517 Mission Blvd., Hayward, CA",-122.0848244,37.672644,"22517 mission blvd, hayward, ca 94541, usa","Geocoded"
"Fantasy Adult Arcade","(Flicks) (Cruisy)","538 Pacific Coast Hwy.","Hermosa Beach","CA","Business,Cruising Areas","",1983,NA,"","538 Pacific Coast Hwy., Hermosa Beach, CA",-118.3911668,33.8591367,"538 pacific coast hwy, hermosa beach, ca 90254, usa","Geocoded"
"Gladiator","(Some W, SM, OC)","7810 Santa Fe Ave.","Huntington Park","CA","Bars/Clubs","(W),(SM),(OC),(PT),(*)",1983,NA,"","7810 Santa Fe Ave., Huntington Park, CA",-118.2299789,33.9684692,"7810 santa fe ave, huntington park, ca 90255, usa","Geocoded"
"Islander","(Some Latins)","6907 Santa Fe","Huntington Park","CA","","(D),(PT)",1983,NA,"","6907 Santa Fe, Huntington Park, CA",-118.2305012,33.9767158,"6907 santa fe ave, huntington park, ca 90255, usa","Geocoded"
"Annex","","835 S. La Brea","Inglewood","CA","Bars/Clubs","",1983,NA,"","835 S. La Brea, Inglewood, CA",-118.3528476,33.9533765,"835 s la brea ave, inglewood, ca 90301, usa","Geocoded"
"Papa Bear's","","1101 S. Praire","Inglewood","CA","Restaurant","",1983,NA,"","1101 S. Praire, Inglewood, CA",-118.3441631,33.9489329,"1101 s prairie ave, inglewood, ca 90301, usa","Geocoded"
"Andre's","(French R) (Piano bar)","1464 S. Coast Hwy.","Laguna Beach","CA","Restaurant,Bars/Clubs","(M),(PE),(R),(OC)",1983,NA,"","1464 S. Coast Hwy., Laguna Beach, CA",-117.7740316,33.531455,"1464 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Beach People","(Men's sportswear & boutique) opp. Coast Inn)","168 Mountain Rd.","Laguna Beach","CA","Business","",1983,NA,"","168 Mountain Rd., Laguna Beach, CA",-117.775234,33.5316376,"168 mountain rd, laguna beach, ca 92651, usa","Geocoded"
"Boom Boom Room","(Game room) (Cruisy) (Enter thr side door or thru Tap Room) Coast Inn","1401 S. Coast Hwy.","Laguna Beach","CA","Cruising Areas,Bars/Clubs","(*),(YC),(PT)",1983,NA,"","1401 S. Coast Hwy., Laguna Beach, CA",-117.7749439,33.5315726,"1401 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Coast Inn","","1401 S. Coast Hwy.","Laguna Beach","CA","Hotel,Restaurant","(M),(R),(H)",1983,NA,"","1401 S. Coast Hwy., Laguna Beach, CA",-117.7749439,33.5315726,"1401 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Cottage","","308 N. Coast Hwy.","Laguna Beach","CA","Restaurant","(M),(R)",1983,NA,"","308 N. Coast Hwy., Laguna Beach, CA",-117.7884141,33.5441869,"308 n coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Corned Beef Corner","(Deli) (Beer & wine)","1105 S. Coast Hwy.","Laguna Beach","CA","Restaurant","(M)",1983,NA,"","1105 S. Coast Hwy., Laguna Beach, CA",-117.7771266,33.5339904,"1105 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Dizz's As Is","(Beer & wine)","2794 S. Coast Hwy.","Laguna Beach","CA","Restaurant","(M),(R),(*)",1983,NA,"","2794 S. Coast Hwy., Laguna Beach, CA",-117.7622361,33.5216217,"2794 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Denny's","","1600 S. Coast Hwy.","Laguna Beach","CA","Restaurant","(M),(R),(C),(AH)",1983,NA,"","1600 S. Coast Hwy., Laguna Beach, CA",-117.7722451,33.5298301,"1600 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Eiler's Inn","(Some PE, OC)","1289 S. Coast Hwy.","Laguna Beach","CA","Hotel","(M),(H),(PE),(OC)",1983,NA,"","1289 S. Coast Hwy., Laguna Beach, CA",-117.7760318,33.5324713,"1289 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Hotel Firenze","","1289 S. Coast Hwy.","Laguna Beach","CA","Hotel","(M),(H),(PE),(OC)",1983,NA,"","1289 S. Coast Hwy., Laguna Beach, CA",-117.7760318,33.5324713,"1289 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Gay Roomate Contact","","405 E. 3rd. St. #226","Laguna Beach","CA","Hotel","",1983,NA,"","405 E. 3rd. St. #226, Laguna Beach, CA",NA,NA,NA,"Geocoded"
"Hotel San Maarten","","696 S. Coast Hwy.","Laguna Beach","CA","Hotel","(M),(H)",1983,NA,"","696 S. Coast Hwy., Laguna Beach, CA",-117.7790766,33.5380985,"696 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Little Shrimp","(Piano bar - patio in Summer)","1305 S. Coast Hwy.","Laguna Beach","CA","Bars/Clubs,Restaurant","(*),(R),(E)",1983,NA,"","1305 S. Coast Hwy., Laguna Beach, CA",-117.7757681,33.5321946,"1305 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Tap Room","(WE*) (Entrance next door to R) Coast Inn","1401 S. Coast Hwy.","Laguna Beach","CA","Bars/Clubs","(WE),(*)",1983,NA,"","1401 S. Coast Hwy., Laguna Beach, CA",-117.7749439,33.5315726,"1401 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Main Street","(Piano bar)","1460 S. Coast Hwy.","Laguna Beach","CA","Bars/Clubs","(E),(*)",1983,NA,"","1460 S. Coast Hwy., Laguna Beach, CA",-117.7743346,33.531503,"1460 s coast hwy, laguna beach, ca 92651, usa","Geocoded"
"Brass Balloon","(Liquor)","30100 Town Center Dr.","Laguna Niguel","CA","Restaurant","(M),(R)",1983,NA,"","30100 Town Center Dr., Laguna Niguel, CA",-117.7134791,33.5255484,"30100 town center dr, laguna niguel, ca 92677, usa","Geocoded"
"Americana","","210 Atlantic Ave.","Long Beach","CA","Restaurant","(M),(R),(C),(AH)",1983,NA,"","210 Atlantic Ave., Long Beach, CA",-118.1849384,33.7695893,"210 atlantic ave, long beach, ca 90802, usa","Geocoded"
"Way Out Inn","","4664 60th St. W.","Lancaster","CA","Bars/Clubs","(M)",1983,NA,"","4664 60th St. W., Lancaster, CA",-118.2369535,34.7112814,"4664 60th st w, lancaster, ca 93536, usa","Geocoded"
"Basic Plumbing","('Wild back room')","2011 E. 4th","Long Beach","CA","Bars/Clubs","(P)",1983,NA,"","2011 E. 4th, Long Beach, CA",-118.167283,33.7719461,"2011 e 4th st, long beach, ca 90814, usa","Geocoded"
"Ben's Books","","5525 N. Atlantic Ave.","Long Beach","CA","Book Store","",1983,NA,"","5525 N. Atlantic Ave., Long Beach, CA",-118.1839899,33.8417243,"5525 n atlantic pl, long beach, ca 90807, usa","Geocoded"
"Breakers","(Liquor) (W-PT-downstairs) (Cruisy)","31 39th Pl.","Long Beach","CA","Bars/Clubs,Cruising Areas","(D),(W),(PT),(*)",1983,NA,"","31 39th Pl., Long Beach, CA",-118.1482071,33.7593484,"31 39th pl, long beach, ca 90803, usa","Geocoded"
"Broadway Annex","(Liquor)","1435 E. Broadway","Long Beach","CA","Bars/Clubs","",1983,NA,"","1435 E. Broadway, Long Beach, CA",-118.1734759,33.7682248,"1435 e broadway, long beach, ca 90802, usa","Geocoded"
"Chelsea Book Store","","2121 E. Broadway","Long Beach","CA","Book Store","(M),(L)",1983,NA,"","2121 E. Broadway, Long Beach, CA",-118.1653176,33.7670505,"2121 e broadway, long beach, ca 90803, usa","Geocoded"
"Calico Kitchen","","364 E. San Antonio","Long Beach","CA","Restaurant","(M),(R)",1983,NA,"","364 E. San Antonio, Long Beach, CA",-118.1881111,33.834951,"364 e san antonio dr, long beach, ca 90807, usa","Geocoded"
"Copper Penny","","615 E. Ocean Blvd.","Long Beach","CA","Restaurant","(M),(R),(C),(AH),(RT)",1983,NA,"","615 E. Ocean Blvd., Long Beach, CA",-118.1846501,33.7666436,"615 e ocean blvd, long beach, ca 90802, usa","Geocoded"
"Comanche","(Disco) (WE*)","5211 N. Atlantic","Long Beach","CA","Bars/Clubs","(D),(PT),(WE),(*)",1983,NA,"","5211 N. Atlantic, Long Beach, CA",-118.1839899,33.8417243,"5211 n atlantic pl, long beach, ca 90807, usa","Geocoded"
"Ed's Adult Books","","123 E. Ocean Ave.","Long Beach","CA","Book Store","",1983,NA,"","123 E. Ocean Ave., Long Beach, CA",-118.1914964,33.767401,"123 e ocean blvd, long beach, ca 90802, usa","Geocoded"
"Dodd's Book Store","","4818 E. 2nd St.","Long Beach","CA","Book Store","(M)",1983,NA,"","4818 E. 2nd St., Long Beach, CA",-118.1376665,33.761255,"4818 2nd st, long beach, ca 90803, usa","Geocoded"
"4th Street Cafe","","2030 E. 4th","Long Beach","CA","Restaurant","(M),(R)",1983,NA,"","2030 E. 4th, Long Beach, CA",-118.166963,33.7715433,"2030 e 4th st, long beach, ca 90814, usa","Geocoded"
"Forced Heat","(Some YC, L, B, Unisex) (Disco) (Liquor)","740 E. Boradway","Long Beach","CA","Bars/Clubs","(*),(YC),(L),(B),(D)",1983,NA,"","740 E. Boradway, Long Beach, CA",-118.182685,33.7690578,"740 e broadway, long beach, ca 90802, usa","Geocoded"
"Holiday Shop","(Travel)","420 E. Broadway","Long Beach","CA","","",1983,NA,"","420 E. Broadway, Long Beach, CA",-118.1869517,33.769169,"420 e broadway, long beach, ca 90802, usa","Geocoded"
"Garden City Cafe","","2209 E. Broadway","Long Beach","CA","Restaurant","(M),(R)",1983,NA,"","2209 E. Broadway, Long Beach, CA",-118.1648035,33.7669204,"2209 e broadway, long beach, ca 90803, usa","Geocoded"
"Hoop's Coop","","2718 E. Anaheim Bl.","Long Beach","CA","Bars/Clubs","(PT),(L)",1983,NA,"","2718 E. Anaheim Bl., Long Beach, CA",-118.1596387,33.7824543,"2718 e anaheim st, long beach, ca 90804, usa","Geocoded"
